Protein,Cluster_ID,Cluster_Size
VTI1B,13,76
STX10,13,76
VPS52,13,76
VAMP1,13,76
COG6,13,76
L7N2F9_HUMAN,13,76
TXLNA,13,76
GOLGA5,13,76
CPLX2,13,76
CPLX1,13,76
SNAP47,13,76
STXBP5,13,76
STX2,13,76
GOLIM4,13,76
TXLNG,13,76
H3BUN2_HUMAN,13,76
H3BMQ9_HUMAN,13,76
STX1B,13,76
STXBP5L,13,76
CPLX4,13,76
CPLX3,13,76
TXLNB,13,76
TAAR5,13,76
MOXD1,13,76
STXBP4,13,76
VPS50,13,76
EIPR1,13,76
RAB6C,13,76
ACOX3,14,72
ACAA1,14,72
EHHADH,14,72
ACADS,14,72
HIBADH,14,72
ACOX1,14,72
PCCB,14,72
PCCA,14,72
ALDH6A1,14,72
ECHDC1,14,72
ACSS3,14,72
ACAA2,14,72
ETFDH,14,72
HADHA,14,72
ETFB,14,72
HADHB,14,72
HSDL2,14,72
HADH,14,72
ECI2,14,72
ECHS1,14,72
ETFA,14,72
GCDH,14,72
ACAT2,14,72
HMGCL,14,72
ACAT1,14,72
HMGCLL1,14,72
OXCT1,14,72
AUH,14,72
AACS,14,72
OXCT2,14,72
BDH1,14,72
CRYL1,14,72
ECI1,14,72
HIBCH,14,72
ACADSB,14,72
ACADL,14,72
SLC25A20,14,72
ACADM,14,72
CPT2,14,72
MCCC2,14,72
SCP2,14,72
ILVBL,14,72
HACL1,14,72
METAP1D,14,72
HSD17B4,14,72
DECR2,14,72
ECH1,14,72
PECR,14,72
ACOX2,14,72
CRAT,14,72
MCCC1,14,72
IVD,14,72
ACAD11,14,72
ACAD8,14,72
ECHDC2,14,72
ACADVL,14,72
MECR,14,72
SMIM24,14,72
ACOXL,14,72
ENSP00000493273,14,72
CROT,14,72
CMBL,14,72
BDH2,14,72
C6orf226,14,72
ACSM3,14,72
ACSM1,14,72
ACSM2B,14,72
ACSM5,14,72
ACSM6,14,72
ACSM2A,14,72
ACSM4,14,72
SLC27A5,14,72
FANCC,15,72
RBBP8,15,72
BRIP1,15,72
WRN,15,72
RECQL5,15,72
FAAP24,15,72
FANCM,15,72
FAAP100,15,72
XPA,15,72
NBN,15,72
PIF1,15,72
FANCI,15,72
BLM,15,72
DNA2,15,72
ERCC1,15,72
UBE2T,15,72
PMS1,15,72
RAD52,15,72
FANCF,15,72
MLH3,15,72
XRCC4,15,72
FANCB,15,72
ERCC5,15,72
FAN1,15,72
SLX1B,15,72
LIG4,15,72
MSH2,15,72
ERCC4,15,72
SLX4IP,15,72
MSH3,15,72
MLH1,15,72
MRE11,15,72
MSH6,15,72
FANCL,15,72
PMS2,15,72
SLX1A,15,72
MUS81,15,72
FANCG,15,72
XRCC3,15,72
BIVM-ERCC5,15,72
EME1,15,72
DCLRE1A,15,72
FANCA,15,72
SLX4,15,72
TOP3A,15,72
RMI1,15,72
RMI2,15,72
RAD51C,15,72
CENPS,15,72
FAAP20,15,72
CENPX,15,72
RAD54B,15,72
RAD51D,15,72
FBH1,15,72
FSBP,15,72
RAD50,15,72
RAD51D-2,15,72
GEN1,15,72
RAD51B,15,72
RAD54L,15,72
SMARCAL1,15,72
TOP3B,15,72
XRCC2,15,72
BIVM,15,72
POLN,15,72
EME2,15,72
RECQL,15,72
IFFO1,15,72
ENSP00000491596,15,72
SWI5,15,72
SFR1,15,72
HELQ,15,72
AP2B1,16,71
CLTCL1,16,71
AP4B1,16,71
AP1B1,16,71
AP4M1,16,71
AP4E1,16,71
AP2S1,16,71
AP2A2,16,71
AP1M1,16,71
SYNRG,16,71
CLINT1,16,71
AP2M1,16,71
AP1M2,16,71
HIP1R,16,71
RALBP1,16,71
REPS2,16,71
EPN3,16,71
EPN2,16,71
BMP2K,16,71
AP2A1,16,71
EPN1,16,71
AAK1,16,71
REPS1,16,71
ITSN1,16,71
ITSN2,16,71
EPS15,16,71
SNAP91,16,71
SYNJ1,16,71
FCHO1,16,71
FCHO2,16,71
BAIAP2L2,16,71
DAB2,16,71
AP4S1,16,71
AFTPH,16,71
CLTA,16,71
AP5M1,16,71
CLTB,16,71
AP1G2,16,71
AP3S1,16,71
AP1S1,16,71
AP3S2,16,71
SGIP1,16,71
PICALM,16,71
AP1G1,16,71
NCALD,16,71
AP1S3,16,71
NECAP2,16,71
EPS15L1,16,71
AP5B1,16,71
AP5Z1,16,71
STON2,16,71
AP3D1,16,71
NECAP1,16,71
AP3M2,16,71
AP1S2,16,71
AP5S1,16,71
AGFG1,16,71
PAXBP1,16,71
HIP1,16,71
RUNDC3A,16,71
KIF13A,16,71
CORO7,16,71
AP3B1,16,71
AP3B2,16,71
ARPIN-AP3S2,16,71
AP3M1,16,71
SMAP2,16,71
ENTHD1,16,71
TEPSIN,16,71
SCAMP1,16,71
AGFG2,16,71
RAB33B,17,71
BNIP3,17,71
SH3GLB1,17,71
BECN2,17,71
PIK3C3,17,71
OPTN,17,71
ATG9A,17,71
FUNDC1,17,71
MAP1S,17,71
ULK1,17,71
ATG16L1,17,71
IRGM,17,71
ATG5,17,71
ATG12,17,71
RB1CC1,17,71
ULK2,17,71
GABARAPL2,17,71
ATG2B,17,71
ZFYVE1,17,71
CCPG1,17,71
WIPI1,17,71
ATG7,17,71
NBR1,17,71
MAP1LC3A,17,71
VMP1,17,71
WIPI2,17,71
GABARAP,17,71
ATG16L2,17,71
MAP1LC3B,17,71
UVRAG,17,71
ATG14,17,71
NRBF2,17,71
CALCOCO2,17,71
GABARAPL1,17,71
ATG2A,17,71
ATG10,17,71
ATG4B,17,71
PIK3R4,17,71
ATG101,17,71
MAP1LC3C,17,71
ATG13,17,71
ULK3,17,71
ATG3,17,71
NIPSNAP1,17,71
ATG4D,17,71
ATG4C,17,71
ATG4A,17,71
ATG9B,17,71
BCL2L13,17,71
MAP1B,17,71
MAP1A,17,71
TECPR2,17,71
CALCOCO1,17,71
TEX264,17,71
TBC1D15,17,71
RETREG1,17,71
BNIP3L,17,71
NIPSNAP2,17,71
TP53INP2,17,71
TBC1D25,17,71
WDFY3,17,71
SEC62,17,71
TECPR1,17,71
RUBCN,17,71
MAP1LC3B2,17,71
RAB33A,17,71
TMEM74,17,71
TMEM41B,17,71
RETREG2,17,71
RETREG3,17,71
WDR81,17,71
UBE2S,18,71
CBX7,18,71
UIMC1,18,71
BRCC3,18,71
RING1,18,71
CBX8,18,71
CBX2,18,71
YAF2,18,71
PCGF5,18,71
FBRS,18,71
PCGF3,18,71
RNF2,18,71
RYBP,18,71
CBX4,18,71
FBRSL1,18,71
ANAPC2,18,71
TRIM33,18,71
PHF1,18,71
KDM2B,18,71
CBX6,18,71
BUB3,18,71
BABAM2,18,71
BABAM1,18,71
ABRAXAS1,18,71
JARID2,18,71
LCOR,18,71
BCORL1,18,71
COMMD3-BMI1,18,71
UBAP2L,18,71
CDC16,18,71
PCGF1,18,71
SCML2,18,71
PHC2,18,71
EED,18,71
PCGF6,18,71
AEBP2,18,71
EZH1,18,71
PCGF2,18,71
PHC3,18,71
PHC1,18,71
E2F6,18,71
YY2,18,71
BCOR,18,71
ANAPC5,18,71
ANAPC15,18,71
ANAPC10,18,71
ANAPC7,18,71
ANAPC1,18,71
CDC27,18,71
ANAPC4,18,71
ANAPC11,18,71
CDC26,18,71
ANAPC16,18,71
CDC23,18,71
PHF19,18,71
CDC14A,18,71
PTTG2,18,71
FZR1,18,71
ANAPC13,18,71
FBXO5,18,71
L3MBTL2,18,71
FAM89A,18,71
FAM89B,18,71
CDC14B,18,71
ABRAXAS2,18,71
MAGIX,18,71
SCMH1,18,71
MTF2,18,71
EPOP,18,71
DEF6,18,71
SKIDA1,18,71
TCEA1,19,71
H4C5,19,71
H4C8,19,71
H4C11,19,71
H4C2,19,71
H4C9,19,71
H4-16,19,71
H4C14,19,71
H4C4,19,71
H4C3,19,71
H4C15,19,71
H4C13,19,71
H4C12,19,71
H4C1,19,71
H1-1,19,71
CHD1L,19,71
H2BC18,19,71
CENPC,19,71
H1-6,19,71
H1-0,19,71
H2AC1,19,71
H1-4,19,71
H1-10,19,71
H2AB2,19,71
H2BC7,19,71
H2AC13,19,71
H2BC10,19,71
NSD2,19,71
DOT1L,19,71
KMT5A,19,71
MACROH2A1,19,71
H2BC8,19,71
H2BC6,19,71
H2AB3,19,71
H2AC4,19,71
PSIP1,19,71
H2AC17,19,71
H2AC11,19,71
H2AC16,19,71
H2AC15,19,71
CENPM,19,71
CENPU,19,71
CENPI,19,71
CENPW,19,71
VRK1,19,71
H2AC21,19,71
H2AC12,19,71
CENPN,19,71
H2AJ,19,71
hCG_2039566,19,71
MIS18BP1,19,71
CENPH,19,71
CENPK,19,71
MIS18A,19,71
CENPL,19,71
CENPO,19,71
CENPT,19,71
ITGB3BP,19,71
H1-5,19,71
L3MBTL1,19,71
SOX11,19,71
SPTY2D1,19,71
H2AC19,19,71
H1-8,19,71
H1-7,19,71
H1-2,19,71
H1-3,19,71
CENPP,19,71
CENPQ,19,71
ENSP00000499734,19,71
H3Y1,19,71
STRA6,20,66
ORM1,20,66
RBP4,20,66
CLU,20,66
APOA1,20,66
GC,20,66
TTR,20,66
SELENON,20,66
TXNRD3,20,66
TXNRD2,20,66
TXNRD1,20,66
LCAT,20,66
LRP8,20,66
VLDLR,20,66
AFM,20,66
APOH,20,66
HP,20,66
CP,20,66
APOA4,20,66
PRDX3,20,66
SAA1,20,66
APOA2,20,66
APCS,20,66
APOL1,20,66
APOC2,20,66
APOA5,20,66
CETP,20,66
PON1,20,66
APOC3,20,66
PEPD,20,66
PLA2G7,20,66
SAA4,20,66
LPA,20,66
APOM,20,66
HDLBP,20,66
APOF,20,66
SELENOS,20,66
PCYOX1,20,66
PLTP,20,66
SAA2,20,66
HPR,20,66
APOC1,20,66
APOC4,20,66
DBI,20,66
MTTP,20,66
SELENOK,20,66
TRNAU1AP,20,66
AZGP1,20,66
TF,20,66
EEFSEC,20,66
SELENOF,20,66
SELENOV,20,66
MSRB1,20,66
SECISBP2,20,66
SELENOO,20,66
SELENOM,20,66
SELENOW,20,66
SELENOT,20,66
SEPHS2,20,66
SELENOH,20,66
GPANK1,20,66
SAA2-SAA4,20,66
PON3,20,66
SEPSECS,20,66
PSTK,20,66
SEPHS1,20,66
ARHGEF2,21,66
EFHC1,21,66
TUBA4A,21,66
TUBB4A,21,66
TUBA3E,21,66
TUBA3D,21,66
TUBB4B,21,66
STMN4,21,66
TUBA8,21,66
TUBB1,21,66
TUBB2B,21,66
TUBB6,21,66
TUBB3,21,66
TUBA1B,21,66
TUBB2A,21,66
TUBAL3,21,66
TUBA1C,21,66
TUBB8,21,66
TUBA1A,21,66
ENKUR,21,66
RIBC2,21,66
TEKT2,21,66
C11orf1,21,66
MNS1,21,66
CFAP20,21,66
CFAP161,21,66
TEKT4,21,66
EFHB,21,66
FAM166C,21,66
FAM183A,21,66
PACRG,21,66
CFAP52,21,66
SPAG8,21,66
TEKT1,21,66
CFAP77,21,66
NME7,21,66
CFAP126,21,66
CFAP45,21,66
C1orf189,21,66
C1orf194,21,66
SPACA9,21,66
C9orf135,21,66
TEKT3,21,66
CFAP53,21,66
FAM166B,21,66
C5orf49,21,66
CCDC173,21,66
C9orf116,21,66
EFHC2,21,66
C15orf65,21,66
C1orf158,21,66
SVBP,21,66
TBCB,21,66
TTL,21,66
CAMSAP1,21,66
VASH2,21,66
TUBB8B,21,66
KIAA0895L,21,66
TBCA,21,66
TUBA4B,21,66
TUBA3C,21,66
ARMC3,21,66
WDR83OS,21,66
TCP11L2,21,66
MAP7,21,66
EML2,21,66
WNT3A,22,58
FZD3,22,58
FZD5,22,58
WNT1,22,58
FZD4,22,58
FZD7,22,58
FZD2,22,58
WNT8A,22,58
LRP6,22,58
FZD8,22,58
FZD1,22,58
FZD10,22,58
FZD6,22,58
SFRP1,22,58
WNT11,22,58
FZD9,22,58
WNT4,22,58
LRP5,22,58
WNT5B,22,58
DKK4,22,58
WNT16,22,58
WNT3,22,58
SFRP5,22,58
WNT9A,22,58
SFRP2,22,58
PORCN,22,58
CER1,22,58
WNT9B,22,58
DKK1,22,58
DKK2,22,58
WNT7B,22,58
DKK3,22,58
WNT8B,22,58
APCDD1,22,58
WIF1,22,58
WLS,22,58
GPC3,22,58
NOTUM,22,58
WNT10B,22,58
GPC4,22,58
SFRP4,22,58
WNT6,22,58
WNT2,22,58
WNT2B,22,58
ROR1,22,58
WNT10A,22,58
WNT7A,22,58
CTHRC1,22,58
KREMEN1,22,58
KREMEN2,22,58
TSPAN12,22,58
ADGRA2,22,58
NDP,22,58
ANTXR2,22,58
ANTXR1,22,58
MESD,22,58
SOSTDC1,22,58
ANKRD42,22,58
C1S,23,55
DGKE,23,55
PTX3,23,55
C5,23,55
C3AR1,23,55
C5AR1,23,55
C3,23,55
MBL2,23,55
CD46,23,55
CD59,23,55
ADGRE5,23,55
CD55,23,55
MYOM2,23,55
C1QA,23,55
C1QB,23,55
C1QC,23,55
VSIG4,23,55
C4A,23,55
HTRA1,23,55
CFD,23,55
C1QBP,23,55
CFH,23,55
C4B,23,55
SERPING1,23,55
CFP,23,55
FCN2,23,55
FCN1,23,55
ADGRE2,23,55
CFB,23,55
CR1,23,55
C2,23,55
C5AR2,23,55
MASP2,23,55
ADAMTS13,23,55
CFI,23,55
B4E1Z4_HUMAN,23,55
FCN3,23,55
CFHR1,23,55
MYBPH,23,55
CFHR4,23,55
CFHR3,23,55
CFHR2,23,55
AGBL3,23,55
ENSP00000493607,23,55
C1R,23,55
CFHR5,23,55
MASP1,23,55
COLEC11,23,55
CR1L,23,55
ARMS2,23,55
COLEC10,23,55
C4BPB,23,55
CD93,23,55
RBMS2,23,55
HMCN1,23,55
XCR1,24,55
CX3CR1,24,55
CCR9,24,55
CXCR3,24,55
CX3CL1,24,55
CCL13,24,55
CCL25,24,55
CCL11,24,55
CCL19,24,55
CCL21,24,55
CXCL13,24,55
CCL26,24,55
CCL17,24,55
CXCL3,24,55
CCL20,24,55
CCL27,24,55
CXCL5,24,55
CCR10,24,55
CXCR1,24,55
CXCR6,24,55
CCR3,24,55
CCL7,24,55
CCR1,24,55
PF4,24,55
CCR8,24,55
CXCL6,24,55
CCL1,24,55
CXCR2,24,55
CXCR5,24,55
CXCL11,24,55
CCR6,24,55
CXCL2,24,55
CXCL16,24,55
CCL22,24,55
PPBP,24,55
ACKR3,24,55
XCL1,24,55
CCL24,24,55
CCL4L2,24,55
CXCL14,24,55
CCL28,24,55
ACKR4,24,55
CXCL17,24,55
CCL8,24,55
ACKR2,24,55
PF4V1,24,55
CCRL2,24,55
CCL16,24,55
CCL23,24,55
CCL14,24,55
CCL15,24,55
CCL18,24,55
CCR4,24,55
XCL2,24,55
CCL3L1,24,55
CLSPN,25,54
MCM5,25,54
POLE2,25,54
GINS2,25,54
TIPIN,25,54
MCM4,25,54
GINS1,25,54
MCM6,25,54
MCM2,25,54
DBF4,25,54
GINS4,25,54
CDT1,25,54
CDC7,25,54
POLE,25,54
MCM8,25,54
ORC1,25,54
MCM10,25,54
POLA1,25,54
MCM3,25,54
GINS3,25,54
WDHD1,25,54
FBXL15,25,54
CHTF18,25,54
MCM9,25,54
MCM8-2,25,54
HAT1,25,54
RFC4,25,54
RFC3,25,54
ORC6,25,54
ORC2,25,54
PRIM1,25,54
POLD2,25,54
PRIM2,25,54
POLA2,25,54
POLD3,25,54
POLD4,25,54
ORC5,25,54
ORC4,25,54
CHRAC1,25,54
DSCC1,25,54
POLG,25,54
POLG2,25,54
NACA-2,25,54
ORC3,25,54
MCMBP,25,54
GMNN,25,54
MAK,25,54
DBF4B,25,54
MCMDC2,25,54
MOK,25,54
ICK,25,54
TM4SF19,25,54
REPIN1,25,54
LRWD1,25,54
PLA2G4A,26,53
PLA2G2C,26,53
PLA2G12B,26,53
PLA2G3,26,53
PLA2G1B,26,53
PISD,26,53
PLD1,26,53
PLD2,26,53
CHPT1,26,53
PEMT,26,53
SELENOI,26,53
LPCAT3,26,53
LPCAT2,26,53
LPCAT1,26,53
PTDSS2,26,53
LPCAT4,26,53
CHDH,26,53
PLAAT3,26,53
MBOAT1,26,53
PTDSS1,26,53
PLD3,26,53
CEPT1,26,53
TMEM189-UBE2V1,26,53
JMJD7-PLA2G4B,26,53
TMEM189,26,53
PLD4,26,53
PLA2G2A,26,53
PLA2G4C,26,53
PLA2G2D,26,53
PLA2G10,26,53
LYPLA1,26,53
PLA2G4D,26,53
PLA2G4F,26,53
PLA2G4E,26,53
PLA2G4B,26,53
PLA1A,26,53
GDPD1,26,53
GDPD3,26,53
PLA2G5,26,53
PLA2G12A,26,53
PLA2G2F,26,53
PAFAH1B2,26,53
PLB1,26,53
PLA2G2E,26,53
PAFAH1B3,26,53
PAFAH2,26,53
PLA2G15,26,53
PNPLA6,26,53
PNPLA7,26,53
PNPLA8,26,53
LYPLA2,26,53
ENPP6,26,53
TMEM86B,26,53
SNX2,27,52
VPS29,27,52
VPS26A,27,52
VPS35,27,52
SNX5,27,52
WASHC1,27,52
WASHC2C,27,52
SNX6,27,52
HSBP1,27,52
SNX27,27,52
WASHC3,27,52
WASHC4,27,52
VPS26C,27,52
SNX8,27,52
CHCHD2,27,52
TBC1D5,27,52
SNX4,27,52
SNX3,27,52
SNX1,27,52
VPS26B,27,52
WASHC5,27,52
FKBP15,27,52
SERPINE2,27,52
CCDC93,27,52
DNAJC13,27,52
ATP13A2,27,52
VPS13C,27,52
VPS35L,27,52
COMMD9,27,52
COMMD4,27,52
COMMD10,27,52
COMMD7,27,52
DENND10,27,52
COMMD3,27,52
COMMD6,27,52
CCDC22,27,52
COMMD5,27,52
COMMD8,27,52
COMMD2,27,52
UBOX5,27,52
SNX17,27,52
SNX15,27,52
SNX32,27,52
SNX7,27,52
WASHC2A,27,52
AVL9,27,52
SNX13,27,52
SNX12,27,52
COMMD7-2,27,52
TMEM230,27,52
DENND6A,27,52
DENND11,27,52
PSMG2,28,52
USP14,28,52
UCHL5,28,52
PSMD11,28,52
PSMD5,28,52
PSMD8,28,52
PSME2,28,52
PSMD10,28,52
PSMD7,28,52
ECPAS,28,52
PSMB7,28,52
PSMB9,28,52
PSMB8,28,52
SEM1,28,52
PSMB2,28,52
PSMB3,28,52
PSMC6,28,52
PSMB1,28,52
PSMA8,28,52
PSMD12,28,52
PSMD13,28,52
PSMA5,28,52
PSMD6,28,52
PSMB4,28,52
PSMB5,28,52
PSMF1,28,52
PSMB11,28,52
ADRM1,28,52
PSME1,28,52
PSMB6,28,52
PSME3,28,52
MYSM1,28,52
PSME4,28,52
PSMC3,28,52
PSMB10,28,52
PSMD3,28,52
PSMG3,28,52
PSMG4,28,52
POMP,28,52
DESI1,28,52
UBQLN4,28,52
NINJ1,28,52
KATNAL2,28,52
PSMD9,28,52
PAAF1,28,52
UBLCP1,28,52
CCDC74B,28,52
UBFD1,28,52
KIAA2012,28,52
MPND,28,52
ZFAND2B,28,52
AKIRIN2,28,52
CRBN,29,51
TRPC4AP,29,51
DCAF15,29,51
DDB2,29,51
ERCC8,29,51
FBXW5,29,51
DCAF5,29,51
DCAF4,29,51
DDA1,29,51
DCAF12,29,51
DTL,29,51
COP1,29,51
DCAF6,29,51
DCAF8,29,51
CUL4B,29,51
DET1,29,51
DCAF11,29,51
DCAF16,29,51
DCAF7,29,51
DCAF17,29,51
DCAF10,29,51
CUL4A,29,51
DCAF1,29,51
AMBRA1,29,51
TESPA1,29,51
COPS3,29,51
COPS6,29,51
COPS2,29,51
GPS1,29,51
COPS7B,29,51
COPS8,29,51
COPS4,29,51
RGS2,29,51
ENSP00000497509,29,51
STK40,29,51
TRIB2,29,51
TRIB1,29,51
ETV1,29,51
COPS7A,29,51
WDTC1,29,51
COPS9,29,51
THEMIS,29,51
FBXO44,29,51
PPP1R42,29,51
FBXO17,29,51
ZFP91,29,51
BRWD3,29,51
BTBD2,29,51
PHIP,29,51
DCAF4L2,29,51
DCAF4L1,29,51
DNAAF2,30,50
PIH1D3,30,50
PIH1D2,30,50
SPAG1,30,50
ZMYND10,30,50
CFAP298,30,50
DNALI1,30,50
DNAAF5,30,50
DNAAF4,30,50
DNAAF1,30,50
CCDC103,30,50
DNAI2,30,50
CFAP300,30,50
DNAAF3,30,50
LRRC6,30,50
DNAI1,30,50
RSPH4A,30,50
DNAH5,30,50
DNAH11,30,50
CCDC39,30,50
RSPH9,30,50
CCDC40,30,50
DNAH14,30,50
DNAL1,30,50
CCDC151,30,50
CCDC114,30,50
CCDC63,30,50
ARMC4,30,50
TTC25,30,50
EFCAB1,30,50
DNHD1,30,50
DNAH3,30,50
DNAH9,30,50
GAS8,30,50
DRC1,30,50
RSPH1,30,50
WDR63,30,50
CFAP70,30,50
DNAH7,30,50
DNAH12,30,50
CCDC65,30,50
DNAH8,30,50
WDR78,30,50
DNAH6,30,50
DNAH17,30,50
CASC1,30,50
DNAH1,30,50
DNAH2,30,50
DRC3,30,50
CFAP206,30,50
MICOS13,31,50
SAMM50,31,50
CHCHD3,31,50
TIMM22,31,50
ROMO1,31,50
TIMM17B,31,50
TIMM23,31,50
IMMT,31,50
TOMM70,31,50
TOMM22,31,50
GRPEL2,31,50
TIMM17A,31,50
DNAJC19,31,50
TIMM23B,31,50
TOMM7,31,50
TIMM10,31,50
TIMM13,31,50
TIMM8A,31,50
TIMM9,31,50
TIMM8B,31,50
TIMM44,31,50
APOOL,31,50
CHCHD10,31,50
TOMM20,31,50
TMEM11,31,50
SLC25A13,31,50
TOMM40,31,50
APOO,31,50
TIMM21,31,50
TIMM50,31,50
PAM16,31,50
DNAJC15,31,50
MTX2,31,50
CHCHD6,31,50
MICOS10,31,50
MTX3,31,50
MTX1,31,50
TOMM6,31,50
TOMM5,31,50
TOMM40L,31,50
DNAJC11,31,50
TIMM10B,31,50
TIMM29,31,50
SLC25A12,31,50
CHCHD5,31,50
TOMM20L,31,50
TRIM46,31,50
EVX2,31,50
LNPK,31,50
ARMC1,31,50
RSAD2,32,49
USP18,32,49
STAT2,32,49
IRF9,32,49
SAMD9,32,49
MX1,32,49
OASL,32,49
IFIT3,32,49
IRF7,32,49
OAS2,32,49
IFITM3,32,49
ISG20,32,49
IFITM1,32,49
BST2,32,49
TRIM22,32,49
IFI44L,32,49
HERC5,32,49
DHX58,32,49
IFIT1,32,49
MX2,32,49
OAS3,32,49
RTP4,32,49
HERC6,32,49
IFI44,32,49
IFI6,32,49
OAS1,32,49
XAF1,32,49
IFIT2,32,49
USP41,32,49
IFIT5,32,49
PARP14,32,49
HELZ2,32,49
EPSTI1,32,49
PARP9,32,49
GBP1,32,49
IFI27,32,49
DDX60,32,49
SP110,32,49
SAMD9L,32,49
PLSCR1,32,49
LY6E,32,49
GBP4,32,49
GBP2,32,49
IFITM2,32,49
RNASEL,32,49
PARP12,32,49
DDX60L,32,49
GBP5,32,49
GBP3,32,49
SMAD7,33,49
SMURF2,33,49
SMAD1,33,49
TGFBR1,33,49
SMURF1,33,49
RNF111,33,49
ACVR2A,33,49
ACVRL1,33,49
BMPR1B,33,49
ACVR1,33,49
ACVR1B,33,49
SMAD6,33,49
NOG,33,49
SMAD9,33,49
SMAD5,33,49
SKI,33,49
SKIL,33,49
BMPR1A,33,49
BMPR2,33,49
TDGF1,33,49
GREM1,33,49
TGFBR3,33,49
ACVR2B,33,49
AMHR2,33,49
GDF2,33,49
FST,33,49
FSTL3,33,49
ACVR1C,33,49
INHBC,33,49
LEFTY1,33,49
INHBB,33,49
LEFTY2,33,49
INHBA,33,49
INHBE,33,49
GREM2,33,49
BMP8B,33,49
BMP8A,33,49
BMP10,33,49
NBL1,33,49
PAEP,33,49
INHA,33,49
NODAL,33,49
BMP3,33,49
GDF3,33,49
GDF1,33,49
CFC1,33,49
DAND5,33,49
ZIC3,33,49
GPR31,33,49
PLAT,34,48
PROC,34,48
THBD,34,48
GP1BA,34,48
F2R,34,48
FGA,34,48
SERPINC1,34,48
F3,34,48
F2RL1,34,48
F2RL3,34,48
A2M,34,48
CPB2,34,48
GAS6,34,48
PROS1,34,48
CLMP,34,48
KLKB1,34,48
FGB,34,48
SERPIND1,34,48
HRG,34,48
FGG,34,48
SERPINF2,34,48
TFPI,34,48
F9,34,48
MERTK,34,48
F2,34,48
PROCR,34,48
PITRM1,34,48
F5,34,48
TYRO3,34,48
FGL1,34,48
F11,34,48
F7,34,48
F10,34,48
F12,34,48
F8,34,48
F13B,34,48
FGL2,34,48
F13A1,34,48
HABP2,34,48
POGLUT1,34,48
GXYLT1,34,48
GXYLT2,34,48
F2RL2,34,48
PGA4,34,48
PGA5,34,48
PGA3,34,48
GGACT,34,48
XXYLT1,34,48
STIP1,35,45
HSPA2,35,45
DNAJB1,35,45
HSPA1A,35,45
DNAJB6,35,45
HSPB8,35,45
HSPA13,35,45
CLPB,35,45
HSPA4L,35,45
HSPA6,35,45
DNAJA2,35,45
HSPH1,35,45
DNAJA4,35,45
DNAJB4,35,45
DNAJC7,35,45
HSPA1L,35,45
BAG1,35,45
BAG2,35,45
DNAJA1,35,45
BAG3,35,45
DNAJB9,35,45
GRPEL1,35,45
DNAJC5B,35,45
DNAJC18,35,45
DNAJB2,35,45
BAG5,35,45
DNAJB12,35,45
DNAJC2,35,45
DNAJB8,35,45
DNAJB14,35,45
DNAJB5,35,45
HSPB6,35,45
ST13,35,45
DNAJC12,35,45
HSPA14,35,45
HSPA12B,35,45
HSPA12A,35,45
DNAJA3,35,45
LONP1,35,45
MN1,35,45
TBX22,35,45
LONP2,35,45
CLPX,35,45
HSPA14-2,35,45
DNAJB13,35,45
SHMT1,36,45
SHMT2,36,45
MTHFD2,36,45
MTHFD2L,36,45
MTRR,36,45
MMAB,36,45
MAT2B,36,45
MTHFR,36,45
GGH,36,45
MMUT,36,45
GLDC,36,45
GCSH,36,45
MTFMT,36,45
TCN2,36,45
PHGDH,36,45
FPGS,36,45
AGXT,36,45
PSAT1,36,45
MCEE,36,45
FTCD,36,45
DAO,36,45
DHFR2,36,45
DHFR,36,45
PIPOX,36,45
SARDH,36,45
GNMT,36,45
AMT,36,45
ENSP00000492798,36,45
ENSP00000491651,36,45
DMGDH,36,45
ALDH1L2,36,45
MTHFS,36,45
ALDH1L1,36,45
BHMT,36,45
MTHFD1,36,45
SRR,36,45
MTHFD1L,36,45
MTR,36,45
SLC19A1,36,45
LMBRD1,36,45
CD320,36,45
MMACHC,36,45
MMADHC,36,45
MMAA,36,45
ST20-MTHFS,36,45
ACTR3C,37,44
ACTR3B,37,44
BAIAP2,37,44
WASL,37,44
NCKAP1L,37,44
ABI2,37,44
WASF3,37,44
WASF1,37,44
CYFIP1,37,44
CYFIP2,37,44
NCKAP1,37,44
WASF2,37,44
ARPC1A,37,44
WAS,37,44
BRK1,37,44
ARPC2,37,44
ABI1,37,44
NCKIPSD,37,44
FNBP1L,37,44
WIPF2,37,44
ARPC1B,37,44
ACTR3,37,44
TRIP10,37,44
FNBP1,37,44
ARPC3,37,44
MYO1E,37,44
ARPC4,37,44
ARPC5L,37,44
ACTR2,37,44
ARPC5,37,44
WIPF1,37,44
WIPF3,37,44
ABI3,37,44
WHAMM,37,44
SRA1,37,44
NHSL2,37,44
KIAA1522,37,44
GPBAR1,37,44
CORO1B,37,44
GMFG,37,44
ARPIN,37,44
ARPC4-TTLL3,37,44
ENSP00000491073,37,44
SCRN2,37,44
FKBP1A,38,43
CACNG3,38,43
CACNG1,38,43
CACNG6,38,43
CATSPERB,38,43
CACNG4,38,43
CACNA1C,38,43
CACNG8,38,43
CATSPER3,38,43
CACNA1D,38,43
CACNG2,38,43
CACNB3,38,43
CATSPER1,38,43
CACNB2,38,43
STAC3,38,43
CACNA1H,38,43
CACNA2D1,38,43
RYR1,38,43
CACNA1S,38,43
CATSPERE,38,43
CACNA1F,38,43
CATSPERD,38,43
CATSPER2,38,43
